source,score,level,source_original
AAK1,1.2906663038298503,3,AAK1
AANAT,1.2242373636845625,3,AANAT
ABL1,-0.6285231235219357,2,ABL1
ACAT1,-1.8246103946638201,4,ACAT1
ACP1,-0.8229618099494055,2,ACP1
ACTB,0.3398923578589278,3,ACTB
ACTN1,-0.6567027560636276,3,ACTN1
ACTR2,-2.700678082811877,3,ACTR2
ACVR1,-0.8691141785373644,3,ACVR1
ACVR2A,-2.700678082811877,3,ACVR2A
ACVR2B,-3.6550362570307824,2,ACVR2B
ACVRL1,-1.7999157287602106,3,ACVRL1
ADAM10,-2.508171122385124,2,ADAM10
ADAM15,0.4613910437601221,3,ADAM15
ADAM17,-1.8822339166345452,2,ADAM17
ADIPOQ,0.8500359706094966,5,ADIPOQ
ADRB2,-0.3047537800972286,3,ADRB2
ADRM1,-2.700678082811877,3,ADRM1
AHSA1,-0.5366959904076017,2,AHSA1
AIMP1,-2.3729204922112777,3,AIMP1
AKT1,-0.39954257456850545,1,AKT1
AKT3,-0.6705545013351877,2,AKT3
ALK,0.2930052398453178,2,ALK
AMH,-2.1223880125103833,4,AMH
AMHR2,-2.1223880125103833,4,AMHR2
AMOT,1.7076216530538546,1,AMOT
ANAPC1,1.9657722334348309,2,ANAPC1
ANK2,-2.4375680111266593,4,ANK2
ANK3,1.1940803458975762,3,ANK3
ANKRD6,3.753393732361814,2,ANKRD6
APAF1,0.5716032527917096,3,APAF1
APC2,-1.9657722334348309,2,APC2
APIP,-0.6612498796376266,4,APIP
APP,-0.7667969648554854,6,APP
APPL1,0.7625190718773167,3,APPL1
AR,2.1126038689011364,0,AR
ARAF,0.6430315235453861,2,ARAF
ARF1,-0.8834497394824149,4,ARF1
ARF6,-0.8468900453166887,5,ARF6
ARHGAP32,-0.37778677405563327,2,ARHGAP32
ARHGEF2,-0.275244184198896,3,ARHGEF2
ARHGEF6,-0.6954761540947377,3,ARHGEF6
ARHGEF7,-0.3735441586058467,3,ARHGEF7
ARRB1,-0.7991100879182662,3,ARRB1
ASAP2,0.953956672072638,5,ASAP2
ATF1,0.5791085499323629,1,ATF1
ATF2,-0.9913730050594939,3,ATF2
ATG9A,1.9007443056834394,6,ATG9A
ATR,0.5757229328723382,2,ATR
AURKA,0.9335067244863634,2,AURKA
AURKB,-0.32375744605755896,1,AURKB
AXIN1,-3.2393174550322725,2,AXIN1
AXIN2,0.5572205631823579,2,AXIN2
BAD,1.5912274271603404,3,BAD
BAG1,-0.7183952770123879,4,BAG1
BAG2,1.1439019809059021,4,BAG2
BAG5,-1.5353985570550281,4,BAG5
BAMBI,-2.700678082811877,3,BAMBI
BCAR1,2.508171122385124,2,BCAR1
BCAR3,-0.6954761540947377,3,BCAR3
BCL2L1,-0.5716032527917096,3,BCL2L1
BCL3,0.6025469863888017,2,BCL3
BCOR,0.6025469863888017,2,BCOR
BID,0.9946084751094191,4,BID
BIRC2,-0.5492018178960594,2,BIRC2
BIRC3,-0.5492018178960594,2,BIRC3
BIRC5,-0.5492018178960594,2,BIRC5
BIRC7,-0.6491170541109775,4,BIRC7
BMF,0.41830928452499916,4,BMF
BMP10,-2.700678082811877,3,BMP10
BMP15,-3.363881126945756,4,BMP15
BMP4,-3.9003594917920923,4,BMP4
BMP5,-2.29958048955559,4,BMP5
BMP6,-2.700678082811877,3,BMP6
BMP8A,-2.700678082811877,3,BMP8A
BMP8B,-2.1223880125103833,4,BMP8B
BMPR1A,-2.5560811943586503,3,BMPR1A
BMPR1B,-2.5560811943586503,3,BMPR1B
BMPR2,-3.072310131929219,4,BMPR2
BRAF,1.5496895571373381,3,BRAF
BRAP,-0.28256931024635096,3,BRAP
BRD2,-1.846495292414082,1,BRD2
BRD4,-0.5028139777174312,2,BRD4
BRDT,2.683428940491809,4,BRDT
BRSK1,-0.8695387309735912,4,BRSK1
BTRC,1.7240761742163844,2,BTRC
C1QBP,1.703169969551718,4,C1QBP
C3,-0.5414273463536388,4,C3
CABIN1,-0.884741975945921,4,CABIN1
CABP1,-2.0961271160800616,3,CABP1
CAMK1,0.7411995718234897,2,CAMK1
CAMK2A,2.508171122385124,2,CAMK2A
CAMK2B,1.6639516059544688,2,CAMK2B
CAMK2D,-1.1208143304269884,3,CAMK2D
CAMK2G,0.7411995718234897,2,CAMK2G
CAND1,-1.6720511798197464,3,CAND1
CAPN1,0.659062162469144,2,CAPN1
CAPN2,0.5572205631823579,2,CAPN2
CAPN3,0.5572205631823579,2,CAPN3
CAPNS1,0.577813831957113,3,CAPNS1
CAPRIN2,-2.9243438261669796,4,CAPRIN2
CARD11,1.8090728004115062,5,CARD11
CARD8,-0.5716032527917096,3,CARD8
CARM1,-1.5304057933955773,2,CARM1
CASP1,0.30086661235811857,1,CASP1
CASP10,0.5492018178960594,2,CASP10
CASP2,0.3865792907039286,2,CASP2
CASP3,0.30086661235811857,1,CASP3
CASP5,-0.8600390697085447,5,CASP5
CASP6,0.3865792907039286,2,CASP6
CASP7,0.30086661235811857,1,CASP7
CASP8,0.30086661235811857,1,CASP8
CASP9,0.5492018178960594,2,CASP9
CAST,-1.049143274658279,3,CAST
CBL,1.0004228739232692,3,CBL
CBLC,0.43317300584716956,4,CBLC
CCL2,-1.0839057735352955,4,CCL2
CCND2,-0.4156957866444733,2,CCND2
CCNY,-3.116765156287323,5,CCNY
CD19,0.3222433456801284,3,CD19
CD3E,-0.5769215239980608,4,CD3E
CD4,-1.0523009381601003,3,CD4
CDC14A,-0.5855028628492163,3,CDC14A
CDC14B,-0.697533649296964,3,CDC14B
CDC42,-0.5572205631823579,2,CDC42
CDC73,-1.9657722334348309,2,CDC73
CDCA3,-0.7591789308943208,3,CDCA3
CDH1,1.9657722334348309,2,CDH1
CDH4,-1.9657722334348309,2,CDH4
CDK1,-0.34394598704127755,1,CDK1
CDK11A,1.7999157287602106,3,CDK11A
CDK14,-2.9243438261669796,4,CDK14
CDK19,-1.7999157287602106,3,CDK19
CDK2,-0.538800649050713,1,CDK2
CDK2AP1,0.6808885058171531,2,CDK2AP1
CDK4,1.2883822878820501,2,CDK4
CDK5,-0.30086661235811857,1,CDK5
CDK5RAP2,-0.5386050942818649,3,CDK5RAP2
CDK6,1.0847227462973765,2,CDK6
CDK9,2.0500342985643294,2,CDK9
CDKN1A,0.43258476854762495,2,CDKN1A
CDKN1B,-1.5497403580976221,4,CDKN1B
CDKN2B,-1.1448307955255992,3,CDKN2B
CENPK,1.6720511798197464,3,CENPK
CFH,0.5959209587704399,5,CFH
CFHR1,-0.5959209587704399,5,CFHR1
CFI,0.5959209587704399,5,CFI
CFLAR,-0.3865792907039286,2,CFLAR
CNKSR1,1.9021781822195556,4,CNKSR1
CNTN1,-2.508171122385124,2,CNTN1
COL1A1,0.4613910437601221,3,COL1A1
COL1A2,0.4613910437601221,3,COL1A2
COL2A1,0.4613910437601221,3,COL2A1
COL4A4,0.4613910437601221,3,COL4A4
COL5A1,-0.9442812444364713,3,COL5A1
COL5A3,-1.7999157287602106,3,COL5A3
COX5B,0.6612498796376266,4,COX5B
CREB1,-1.636056602897038,2,CREB1
CREB5,-1.7999157287602106,3,CREB5
CREM,-1.1806377816935505,4,CREM
CRKL,2.355208651613939,3,CRKL
CRTC2,-1.4631425955223538,3,CRTC2
CRTC3,0.6129219859856241,3,CRTC3
CSDE1,1.5804558387932226,4,CSDE1
CSK,-1.0960571412079783,2,CSK
CSMD1,-2.508171122385124,2,CSMD1
CSNK1A1,1.9315663331913957,1,CSNK1A1
CSNK1A1L,-1.9657722334348309,2,CSNK1A1L
CSNK1D,2.80044789115191,1,CSNK1D
CSNK1E,2.80044789115191,1,CSNK1E
CSNK1G1,-0.724843006689468,2,CSNK1G1
CSNK1G2,2.508171122385124,2,CSNK1G2
CSNK1G3,1.5912274271603404,3,CSNK1G3
CSNK2A1,-1.1707860078318304,1,CSNK2A1
CSNK2A2,-0.6346141604128204,2,CSNK2A2
CSNK2B,-1.9657722334348309,2,CSNK2B
CTBP1,-0.7671498474046121,5,CTBP1
CTNNA3,-1.9657722334348309,2,CTNNA3
CTNNB1,-1.528660807984729,1,CTNNB1
CTNND1,-0.6645419555974491,3,CTNND1
CTSE,-1.7355738457338796,5,CTSE
CUL1,1.9657722334348309,2,CUL1
CYTH2,-0.953956672072638,5,CYTH2
DAB2,-1.4760421707504525,2,DAB2
DAB2IP,0.30086661235811857,1,DAB2IP
DACH2,-2.508171122385124,2,DACH2
DAPK1,-0.37778677405563327,2,DAPK1
DAXX,0.3865792907039286,2,DAXX
DCAF7,1.1007025790733995,3,DCAF7
DCC,0.5511455874363236,4,DCC
DDIT3,-0.5414273463536388,4,DDIT3
DDX1,-1.5804558387932226,4,DDX1
DDX21,-1.7999157287602106,3,DDX21
DDX3X,1.2277740096800414,2,DDX3X
DDX5,-0.30086661235811857,1,DDX5
DEF6,-0.28470557212515035,3,DEF6
DIABLO,0.5587629225905328,3,DIABLO
DLK1,2.508171122385124,2,DLK1
DNAJC5,1.2249333704881376,4,DNAJC5
DOCK7,-0.3735441586058467,3,DOCK7
DTNBP1,1.0858201945231574,5,DTNBP1
DTX1,-2.1317427845272117,2,DTX1
DUSP2,0.969163958520189,2,DUSP2
DUSP3,1.0618833803390582,2,DUSP3
DUSP5,-0.5152278991891608,2,DUSP5
DUSP6,0.9506029234029603,2,DUSP6
DUSP7,-0.969163958520189,2,DUSP7
DUSP9,0.5327986968558598,2,DUSP9
DVL1,-2.941061072534741,2,DVL1
DVL2,-1.3155538223632228,3,DVL2
DVL3,-0.489174327097203,3,DVL3
DYRK1A,1.2315613178239597,2,DYRK1A
DYRK1B,0.48129633560019125,3,DYRK1B
DYRK2,2.402217785384262,3,DYRK2
E2F1,0.3865792907039286,2,E2F1
EGFR,0.35180353502331024,2,EGFR
EHMT1,1.5497403580976221,4,EHMT1
EID2,2.508171122385124,2,EID2
EIF2A,-0.987553717723533,5,EIF2A
EIF2AK2,0.43258476854762495,2,EIF2AK2
EIF2AK4,1.2088945940299547,6,EIF2AK4
EIF4E,-3.6550362570307824,2,EIF4E
EIF4EBP1,2.700678082811877,3,EIF4EBP1
EIF4EBP2,2.700678082811877,3,EIF4EBP2
EIF4G2,-0.39427227033227497,3,EIF4G2
ELAVL3,-1.7999157287602106,3,ELAVL3
EP300,-0.3991206884132978,1,EP300
EP400,-1.3337456774303613,3,EP400
EPB41,2.9709698703245415,4,EPB41
EPHA2,-0.5360486566275536,4,EPHA2
EPHB2,-0.37778677405563327,2,EPHB2
EPHB3,-0.7931739108979984,5,EPHB3
ERBB2,-1.0641041473023929,2,ERBB2
ERCC6,-1.4109734398972238,3,ERCC6
ESR1,-0.37778677405563327,2,ESR1
ESR2,-0.9809486081733538,3,ESR2
F11,1.755126117077393,5,F11
F12,0.5571218033260317,4,F12
F2RL1,-0.3334554148171574,3,F2RL1
FADD,0.3865792907039286,2,FADD
FAM20C,-1.294809152998343,5,FAM20C
FANCM,1.2965279306290194,4,FANCM
FAS,0.9051663403439978,3,FAS
FASLG,1.2947314218551738,4,FASLG
FBXL12,-0.7203456466418154,3,FBXL12
FBXL15,0.9553040846267603,3,FBXL15
FBXO11,-1.5912274271603404,3,FBXO11
FBXO2,1.8716476299255098,4,FBXO2
FBXO3,0.5028139777174312,2,FBXO3
FBXO8,1.0426259867254495,6,FBXO8
FBXW11,-1.7240761742163844,2,FBXW11
FCGR3A,-1.0523009381601003,3,FCGR3A
FGA,0.4613910437601221,3,FGA
FGF2,-0.8554317103669651,4,FGF2
FGFR1,1.1125142146513822,3,FGFR1
FGFR4,0.4093185373965505,3,FGFR4
FH,-0.8149223137029763,4,FH
FHL5,-1.2656758175289793,5,FHL5
FKBP1A,-2.700678082811877,3,FKBP1A
FKBP4,-0.30086661235811857,1,FKBP4
FLT3,-1.9657722334348309,2,FLT3
FLT3LG,-1.3771055120438145,3,FLT3LG
FLT4,0.9921007242225576,4,FLT4
FMR1,-0.7395224176129744,3,FMR1
FOS,-1.7999157287602106,3,FOS
FOXG1,-0.724843006689468,2,FOXG1
FOXH1,-2.508171122385124,2,FOXH1
FOXM1,-0.5781096906302831,2,FOXM1
FOXO1,0.5663066585914707,1,FOXO1
FOXO3,0.2529776840591685,3,FOXO3
FPR2,-0.6123374698063191,5,FPR2
FRS2,0.5781391639451311,4,FRS2
FRZB,-2.767554718966326,3,FRZB
FST,5.574180621401188,4,FST
FSTL3,2.437568011126659,4,FSTL3
FURIN,2.508171122385124,2,FURIN
FUS,-1.0977617363808945,3,FUS
FZD1,-2.1386900330483534,3,FZD1
FZD3,2.5176163942598033,2,FZD3
FZD7,-1.6143630917352199,3,FZD7
FZD8,-0.28470557212515035,3,FZD8
G3BP1,0.48129633560019125,3,G3BP1
GABARAP,1.12154337795989,4,GABARAP
GABBR1,-0.47698066859163174,4,GABBR1
GABPA,1.0977617363808945,3,GABPA
GDF1,-3.8506972916373146,3,GDF1
GDF10,-3.8506972916373146,3,GDF10
GDF11,-3.8506972916373146,3,GDF11
GDF15,-0.6771917154703931,3,GDF15
GDF5,-2.700678082811877,3,GDF5
GDF6,-2.29958048955559,4,GDF6
GDF7,-3.363881126945756,4,GDF7
GDF9,-2.700678082811877,3,GDF9
GDNF,0.29591497183869564,3,GDNF
GHITM,-0.6612498796376266,4,GHITM
GIT1,0.8066831856287403,3,GIT1
GLDN,1.2500058012251984,4,GLDN
GNAI1,-0.37778677405563327,2,GNAI1
GNAL,0.5571218033260317,4,GNAL
GNAQ,-0.5572205631823579,2,GNAQ
GNAS,-0.37778677405563327,2,GNAS
GNB2,1.1676017534558933,3,GNB2
GNRHR,-1.9657722334348309,2,GNRHR
GOLGA7,1.0332921920121565,4,GOLGA7
GPC4,2.1035300889226973,3,GPC4
GPC6,-2.1035300889226973,3,GPC6
GRAP,-0.8164518345504765,3,GRAP
GRB10,-0.4126117038018095,3,GRB10
GRB7,-0.5621067702183328,4,GRB7
GRIP1,-1.5041762928799784,4,GRIP1
GRIPAP1,-0.7056970997276303,3,GRIPAP1
GRK5,-1.5912274271603404,3,GRK5
GSK3A,2.8055187198849043,2,GSK3A
GSK3B,0.4349193273992231,1,GSK3B
GSN,-0.5716032527917096,3,GSN
GTF2I,-0.37778677405563327,2,GTF2I
GZMB,0.5492018178960594,2,GZMB
HCK,-0.2620156680180678,3,HCK
HDAC1,0.3303450344520871,1,HDAC1
HDAC11,2.3923585904457285,2,HDAC11
HDAC2,0.3303450344520871,1,HDAC2
HDAC3,0.3303450344520871,1,HDAC3
HDAC4,1.5804558387932226,4,HDAC4
HDAC5,-1.4050792165346255,3,HDAC5
HDAC7,0.2529608779351735,1,HDAC7
HGS,-2.508171122385124,2,HGS
HIF1AN,2.1317427845272117,2,HIF1AN
HIPK2,1.5979105741915205,2,HIPK2
HMGA2,3.0429806180386385,0,HMGA2
HMGN1,-0.27886248443227235,2,HMGN1
HNF1B,0.7411995718234897,2,HNF1B
HNRNPK,0.30086661235811857,1,HNRNPK
HOMER1,-0.5698683481041379,5,HOMER1
HOXA10,0.724843006689468,2,HOXA10
HRAS,0.644283528632484,3,HRAS
HSF1,0.6992159030366918,2,HSF1
HSP90AA1,-0.30086661235811857,1,HSP90AA1
HSP90AB1,-0.30086661235811857,1,HSP90AB1
HSPA1A,1.140725150812377,3,HSPA1A
HSPA1B,0.8970745011812531,3,HSPA1B
HSPB1,0.30086661235811857,1,HSPB1
HSPB2,-0.627272844364625,2,HSPB2
HSPB6,-0.5033511928255993,2,HSPB6
HSPG2,-0.5414273463536388,4,HSPG2
HUWE1,-2.402217785384262,3,HUWE1
IBSP,-0.7663265196313392,4,IBSP
ICAM3,-0.5414273463536388,4,ICAM3
ICAM4,-0.7663265196313392,4,ICAM4
IER3,-0.8262014092224604,3,IER3
IGF1R,-0.5158559510291227,3,IGF1R
IGF2BP1,1.4836694378487105,3,IGF2BP1
IL15RA,1.0332714368570657,4,IL15RA
IL16,-0.8725242886834874,4,IL16
IL19,0.9140674752701214,5,IL19
IL1R1,-0.9690205368812457,3,IL1R1
IL1RAP,-0.7937926645718857,4,IL1RAP
IL1RN,0.7937926645718857,4,IL1RN
IL26,0.9140674752701214,5,IL26
IL5,-0.8007080573055794,4,IL5
IL5RA,-0.976336298389818,3,IL5RA
ILK,-0.4731538203862064,2,ILK
IMMT,-0.5108893978623308,5,IMMT
INCENP,-0.40690085448868324,2,INCENP
INHBA,-3.8506972916373146,3,INHBA
INHBB,-3.8506972916373146,3,INHBB
