"TR:TCGAMGAAMC01:CellLine","TR:TCGACH574801:CellLine","TR:TCGACH574101:CellLine","TR:TCGAV1A9O901:CellLine","TR:TCGAYLA9WL01:CellLine","TR:TCGAHC774401:CellLine","TR:TCGAKKA6E001:CellLine","TR:TCGAYLA8HK01:CellLine","TR:TCGAQUA6IL01:CellLine","TR:TCGAJ4A67L01:CellLine","TR:TCGAEJ549701:CellLine","TR:TCGACH576101:CellLine","DA:ALL","TR:CDC7","TR:CDON","TR:GADD45B","TR:parent_of_TRIM281","TR:RPS6KA2","TR:RYK","TR:WNT1","TR:WNT4","TR:HMGA2","TR:MAPKAPK3","TR:parent_of_ATM1","TR:PPARA","TR:PPARD","TR:ULK2","TR:HDAC10","TR:BIRC5","TR:HIPK1","TR:KCNIP3","TR:parent_of_CASP3-1_____CASP7-1_____CASP9-1","TR:PRKCA","TR:BIRC7","TR:EIF2AK3","TR:RIPK1","TR:SF1","TR:CSNK1E","TR:GOLGA7","DV:ABL1","DV:ATM","DV:AXIN1","DV:BAK1","DV:BCL2L2","DV:CDK5","DV:CREB1","DV:CREBBP","DV:DAXX","DV:DDX3X","DV:E2F1","DV:EIF4E","DV:ESCO1","DV:FAS","DV:FUS","DV:FZD8","DV:IRS1","DV:LRP6","DV:MAP3K4","DV:NR1H2","DV:parent_of_FUS1","DV:parent_of_HRAS1_____NRAS1","DV:PRKAB1","DV:PSIP1","DV:RNF111","DV:TRIM28","DV:BAX","DV:BID","DV:CASP3","DV:DIABLO","DV:EIF4G2","DV:HSPB2","DV:ILK","DV:parent_of_AKT11_____AKT21_____AKT31","DV:PPP1R1B"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0.576048090067595,NA,0.555858948986869,0.516941531280353,0.422951682804317,0.28324750464446,0.76369860026177,1,0.21381739289374,0.939217734494914,0.0904813941411713,0.5,1,0.353567800286632,0.231551041482507,0.727348988193231,0.590396628277795,0.590396628277795,0.551801717934401,1,0.211827115657654,0.9406660442324,0.57183156936914,0.387987251218141,NA,0,0.516941531280353,0.419533274895518,0.337537039959505,0.229296303647737,0.724178504675519,0.84047665374761,0.583766327127621,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0.471397756930974,0.578974266875142,0.419019008838099,0.5678797959999,0.393433542273044,0.557127620476923,1,0.352620894656275,NA,1,0.47233750100524,0.466083461046823,NA,0.564779616545495,0,0.230620535680826,0.632048427676488,0.27827128422697,0.659642797510467,0.471397756930974,0,0.376800170215337,0.644818369377506,1,0.419019008838099,0,0.5678797959999,0.601893377488439,0.183460183406152,0,1,0.728717111139735,1,1,0.697784318775032
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.373274922308389,0.283177345620654,0.370774514391432,0.972996729195244,0,0.481061102082046,0.564833522939539,0.836830202270199,0.416925055942466,0.546099249529347,0.396319331001654,0.682047983651861,0.459058569513717,0.318306064849792,0.612042153599622,0.401721166409095,0.227633321242617,0.193624956671169,0.350512128353035,0.690117520820279,0.623312631310948,0.113248339459296,0.304586406058587,0.674260657335304,0.682047983651861,0.227877065891437,1,0.784791237944682,1,1,0,NA,0.356044408209872,0.356044408209872,0.0420501361381573
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.558011151630171,0.795361395941594,0.0622074263160927,0.983807222317551,0.111551287202985,0.508590656627516,0.957294577924611,0.665837323408896,1,0.264130413997818,0.494510245599053,0.820022361139614,0.705838594729162,0.612289668964245,0.748786273393777,0.601228644800109,0.836272857806059,0.498550969299944,0.932439822029565,0.599347402393487,0.651875182228853,0.14459613820182,0.830556567673612,0.24079960718067,0.398056580031356,1,0.704397903351083,0.974390146404648,0.509887574643334,0.594928832261703,0.452259271414386,0.775005131769456,0.775005131769456,0.775005131769456,0.832865070209212
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485776141621934,0.0894458483789099,1,0.647900296566173,0.445615935481602,0.21186375373584,1,1,0.99263930660086,0,0.407199389823555,1,0,0.637116729372451,0.684580918452371,0.597025189589344,0.613595765231757,1,0.639019260246983,0,0.677847263966049,0,0.688406380301146,0.556896225480105,1,0.754612314892622,NA,NA,NA,NA,NA,NA,NA,NA,NA
